SMILES,Name,Cluster,Center
Cn1ccc(-c2ccc3c(c2)n(C)c(=O)n3C)n1,AB170_985908_988578,31,No
c1ccc(-n2cc(CNCc3cn(C4COC4)nn3)nn2)cc1,AB160_817057_819708_275045,7,No
Cc1ccc2ncc(C(=O)NCc3cnnn3C)cc2c1,AB30_363011_384337,5,No
Cc1ncc(NCc2cn(-c3ccccc3)nn2)cc1C(N)=O,AB71_234182_237044,28,Yes
COCc1nnc(SCc2cccc(-n3cccn3)c2)[nH]1,AB15_1807725_1813340_1811471,7,No
Cn1cc2cc(-c3cnc(-c4ncccn4)nc3)ccc2n1,AB170_985456_988604,15,Yes
Cc1cn2nc(NCCn3cc(Br)nn3)ccc2n1,AB42_778787_781818,12,No
Cn1cc(-c2ccc(CNc3cnnn3C)cc2)cn1,AB72_240167_241255,13,No
c1ccc(-n2cc(NCc3ccon3)cn2)cc1,AB146_801308_807661,7,No
CCCCN(C)C(=O)Cn1nnc(C)n1,AB22_6170_19905_295859,34,No
CCCn1cc(C=NNc2ccc(Br)cc2)nn1,AB3_1481390_1484555,35,No
Cn1nncc1C=CC(=O)c1cccc(-n2ccnn2)c1,AB4_1696675_1697642,21,No
Cn1cc(C(=O)NCCn2ccnn2)cn1,AB83_1591930_1598337,30,Yes
Cc1cc(OCc2cn(-c3ccccc3)nn2)ccc1Br,AB47_1454871_1455817,7,No
Cc1cc(NC(=O)c2csc(Cc3ccccc3)n2)cnn1,AB25_262120_266121,4,No
O=C(Nn1ccnn1)c1cnc2ccnn2c1,AB25_260435_278217,30,No
Cn1cc(C(=O)Nc2ccc(F)c(-c3ccccc3)c2)nn1,AB39_275643_284629_1189323,43,No
c1cc(-c2cccc(-n3cccn3)c2)cc(-c2cc[nH]n2)c1,AB170_985762_988531,25,No
Fc1c(CNc2cccc(-n3cnnn3)c2)ccnc1Br,AB146_798492_808502,24,No
Cc1nncn1N=Cc1ccc(-c2ccccn2)nc1,AB1_1471686_1475706,8,No
Cc1nncn1N=Cc1csc(-c2ccco2)n1,AB1_1471686_1472763,8,No
Clc1ccc(CNc2ccc(-n3ccnn3)cc2)cc1,AB146_799027_806253,0,No
